SubjID,RunNum,TrialNum,ItemNum,ItemType,LangType,TrialOnset,RT,CorrectAnswer,Response,Accuracy
FED_20190307b_3T2,12,7,66,4,jap,159.332,12.7063,1,2,0
FED_20190307b_3T2,12,8,30,2,en,177.1016,34.7536,2,2,1
FED_20190307b_3T2,1,2,91,6,jap,10.0392,24.1503,2,2,1
FED_20190307b_3T2,1,3,19,2,sent,39.2441,50.0001,2,2,1
FED_20190307b_3T2,1,4,55,4,en,94.3031,19.732,1,3,0
FED_20190307b_3T2,1,6,37,3,en,129.1087,21.9829,3,3,1
FED_20190307b_3T2,1,7,1,1,sent,156.1297,21.3668,1,1,1
FED_20190307b_3T2,1,8,73,5,jap,182.5507,30.1067,1,1,1
FED_20190307b_3T2,10,2,82,5,jap,10.0668,18.089000000000002,2,2,1
FED_20190307b_3T2,10,3,46,3,en,33.2206,25.8116,1,1,1
FED_20190307b_3T2,10,4,10,1,sent,64.0924,18.4958,2,2,1
FED_20190307b_3T2,10,6,28,2,sent,97.6811,50.0003,2,-1,0
FED_20190307b_3T2,10,7,64,4,en,152.7401,19.633,2,1,0
FED_20190307b_3T2,10,8,100,6,jap,177.4107,27.0391,2,2,1
FED_20190307b_3T2,11,2,65,4,sent,10.0472,26.6571,1,1,1
FED_20190307b_3T2,11,3,29,2,jap,41.7524,29.9806,2,2,1
FED_20190307b_3T2,11,4,101,6,en,76.7915,23.3149,1,1,1
FED_20190307b_3T2,11,6,83,5,en,115.1809,25.0675,3,3,1
FED_20190307b_3T2,11,7,11,1,jap,145.3027,21.0765,1,1,1
FED_20190307b_3T2,11,8,47,3,sent,171.4236,50.001000000000005,1,4,0
FED_20190307b_3T2,6,2,6,1,en,10.0488,34.7554,3,3,1
FED_20190307b_3T2,6,3,42,3,jap,49.8552,15.276,3,3,1
FED_20190307b_3T2,6,4,78,5,sent,70.1586,20.7852,3,3,1
FED_20190307b_3T2,6,6,96,6,sent,106.031,11.4555,2,2,1
FED_20190307b_3T2,6,7,60,4,jap,122.5506,21.0093,3,3,1
FED_20190307b_3T2,6,8,24,2,en,148.6214,39.189,4,4,1
FED_20190307b_3T2,7,2,97,6,jap,10.0479,20.6236,1,1,1
FED_20190307b_3T2,7,3,25,2,sent,35.7187,39.1653,3,3,1
FED_20190307b_3T2,7,4,61,4,en,79.9425,16.5977,3,3,1
FED_20190307b_3T2,7,6,43,3,en,111.6143,48.9876,2,2,1
FED_20190307b_3T2,7,7,7,1,sent,165.6398,23.9322,3,3,1
FED_20190307b_3T2,7,8,79,5,jap,194.6279,41.2359,2,2,1
FED_20190320c_3T2,12,2,48,3,sent,10.0523,13.3543,2,2,1
FED_20190320c_3T2,12,3,84,5,en,28.4551,20.1891,2,2,1
FED_20190320c_3T2,12,4,12,1,jap,53.7093,23.9404,2,2,1
FED_20190320c_3T2,12,6,30,2,jap,92.7322,17.0287,2,2,1
FED_20190320c_3T2,12,7,102,6,en,114.8193,27.4219,1,1,1
FED_20190320c_3T2,12,8,66,4,sent,147.2912,25.7541,1,1,1
FED_20190320c_3T2,1,2,19,2,en,10.13,19.5527,2,2,1
FED_20190320c_3T2,1,3,91,6,sent,34.7834,41.5559,2,1,0
FED_20190320c_3T2,1,4,55,4,jap,81.3911,8.3827,1,1,1
FED_20190320c_3T2,1,6,37,3,jap,104.8448,14.4733,3,3,1
FED_20190320c_3T2,1,7,73,5,sent,124.3814,12.2879,1,1,1
FED_20190320c_3T2,1,8,1,1,en,141.7176,21.8577,1,1,1
FED_20190320c_3T2,6,2,42,3,sent,10.0429,12.2459,3,3,1
FED_20190320c_3T2,6,3,78,5,en,27.3458,19.4541,3,3,1
FED_20190320c_3T2,6,4,6,1,jap,51.8498,31.6483,3,3,1
FED_20190320c_3T2,6,6,24,2,jap,98.574,45.3545,4,4,1
FED_20190320c_3T2,6,7,96,6,en,148.9822,14.3227,2,2,1
FED_20190320c_3T2,6,8,60,4,sent,168.352,24.3965,3,1,0
FED_20190320c_3T2,7,2,25,2,en,10.0573,22.4527,3,3,1
FED_20190320c_3T2,7,3,97,6,sent,37.5617,16.6029,1,1,1
FED_20190320c_3T2,7,4,61,4,jap,59.232,12.2999,3,3,1
